lo_id,date,min_time,max_time,quality_id,size_id,size_name,coi_id,weight
001,2023-03-18,06:04:08,06:05:04,CTT2H,300-UP,300-UP,1,28.669
001,2023-03-18,09:30:29,17:31:33,SIAM86,8-10,,1,546.743
001,2023-03-18,15:23:57,15:29:43,CTT1,25-30,25-30,1,57.432
001,2023-03-18,15:52:43,16:38:54,CTT1,60-120,60-120,1,354.742
001,2023-03-18,17:05:14,17:24:44,SIAM86,10-12,,1,253.968
001,2023-03-18,17:40:44,18:42:07,YOKO83,220-UP,,1,740.675
001,2023-03-19,09:19:54,09:51:57,CTT1,170-220,170-220,1,359.875
001,2023-03-19,13:06:26,13:49:54,CTT5,120-170,120-170,1,295.934
001,2023-03-19,14:03:05,16:23:50,CTT1,25-30,25-30,1,825.119
